Date,High,Low,Open,Close,Volume,Adj Close
2020-03-02,55500,53600,54300,55000,30403412,55000
2020-03-03,56900,55100,56700,55400,30330295,55400
2020-03-04,57600,54600,54800,57400,24765728,57400
2020-03-05,58000,56700,57600,57800,21698990,57800
2020-03-06,57200,56200,56500,56500,18716656,56500
2020-03-09,56500,56500,56500,56500,0,56500
2020-03-10,54900,53700,53800,54600,32106554,54600
2020-03-11,54400,52000,54300,52100,45707281,52100
2020-03-12,52100,52100,52100,52100,0,52100
2020-03-13,51600,46850,47450,49950,59462933,49950
2020-03-16,50900,48800,50100,48900,33339821,48900
2020-03-17,49650,46700,46900,47300,51218151,47300
2020-03-18,48350,45600,47750,45600,40152623,45600
2020-03-19,46650,42300,46400,42950,56925513,42950
2020-03-20,45500,43550,44150,45400,49730008,45400
2020-03-23,43550,42400,42600,42500,41701626,42500
2020-03-24,46950,43050,43850,46950,49801908,46950
2020-03-25,49600,47150,48950,48650,52735922,48650
2020-03-26,49300,47700,49000,47800,42185129,47800
2020-03-27,49700,46850,49600,48300,39896178,48300
2020-03-30,48350,46550,47050,47850,26797395,47850
2020-03-31,48500,47150,48000,47750,30654261,47750
2020-04-01,47900,45800,47450,45800,27259532,45800
2020-04-02,46850,45350,46200,46800,21621076,46800
2020-04-03,47600,46550,47400,47000,22784682,47000
2020-04-06,48800,47250,47500,48700,23395726,48700
2020-04-07,50200,49000,49650,49600,31524034,49600
2020-04-08,49750,48600,49600,48600,25010314,48600
2020-04-09,49800,48700,49750,49100,22628058,49100
2020-04-10,49250,48650,48950,49250,17839111,49250
2020-04-13,48900,48300,48650,48300,14431800,48300
2020-04-14,49200,48300,48800,49000,14206216,49000
2020-04-16,49350,48550,49350,49000,23349760,49000
2020-04-17,52000,50300,50800,51400,32041675,51400
2020-04-20,51400,50000,51400,50100,21866354,50100
2020-04-21,49700,48700,49400,49250,27407543,49250
2020-04-22,50000,48350,48700,49850,18613864,49850
2020-04-23,50300,49500,50200,49850,18754442,49850
2020-04-24,49750,49000,49650,49350,15618347,49350
2020-04-27,50000,49100,49350,49850,14049471,49850
2020-04-28,50100,49300,49850,50100,16095399,50100
2020-04-29,50500,49600,49900,50000,15604533,50000
2020-05-04,49100,48500,48900,48500,26083749,48500
2020-05-06,49200,48500,49000,49200,18070225,49200
2020-05-07,49300,48700,49200,48800,13884411,48800
2020-05-08,49350,48800,49100,48800,15319700,48800
2020-05-11,49250,48300,48900,48400,16357743,48400
2020-05-12,48500,47550,48400,47900,23433590,47900
2020-05-13,48550,47200,47250,48550,20223277,48550
2020-05-14,48100,47650,47750,48000,19305974,48000
2020-05-15,48450,47700,48400,47850,18463118,47850
2020-05-18,49100,47600,47950,48800,20481981,48800
2020-05-19,50500,49700,50100,50300,25168295,50300
2020-05-20,50200,49800,50000,50000,14896899,50000
2020-05-21,50400,49850,50300,49950,14949266,49950
2020-05-22,49800,48600,49600,48750,19706284,48750
2020-05-25,48900,48450,48750,48850,14337913,48850
2020-05-26,49450,48600,48700,49250,15127490,49250
2020-05-27,50000,48800,48950,49900,19548479,49900
2020-05-28,51200,49900,51100,50400,31309318,50400
2020-05-29,50700,49700,50000,50700,27596961,50700
2020-06-01,51200,50600,50800,51200,16949183,51200
2020-06-02,51500,50800,51000,51400,14247933,51400
2020-06-03,55000,51700,51800,54500,49257814,54500
2020-06-04,57000,54600,55800,54600,40220334,54600
2020-06-05,55900,54000,54400,55500,22743629,55500
2020-06-08,56500,54700,56400,54900,25634965,54900
2020-06-09,56500,54400,55800,55500,23998831,55500
2020-06-10,55900,54900,55100,55400,16742493,55400
2020-06-11,55100,53200,54500,54300,33815123,54300
2020-06-12,52800,51500,52100,52300,26976019,52300
2020-06-15,52000,49900,51400,49900,28772921,49900
2020-06-16,52100,50600,51200,52100,21808375,52100
2020-06-17,52900,51300,52100,52200,26672595,52200
2020-06-18,52300,51600,52200,52300,15982926,52300
2020-06-19,52900,51600,52600,52900,18157985,52900
2020-06-22,52600,51800,52000,52000,13801350,52000
2020-06-23,52800,51100,52500,51400,18086152,51400
2020-06-24,53900,51600,51900,52900,24519552,52900
2020-06-25,53000,51900,52100,51900,18541624,51900
2020-06-26,53900,52200,52800,53300,21575360,53300
2020-06-29,53200,52000,52500,52400,17776925,52400
2020-06-30,53900,52800,53900,52800,21157172,52800
2020-07-01,53600,52400,53400,52600,16706143,52600
2020-07-02,52900,52100,52100,52900,14142583,52900
2020-07-03,53600,52700,53000,53600,11887868,53600
2020-07-06,55000,53800,54000,55000,19856623,55000
2020-07-07,55900,53400,55800,53400,30760032,53400
2020-07-08,53900,52900,53600,53000,19664652,53000
2020-07-09,53600,52800,53200,52800,17054850,52800
2020-07-10,53200,52300,53100,52700,13714746,52700
2020-07-13,53800,53100,53300,53400,12240188,53400
2020-07-14,53800,53200,53700,53800,14269484,53800
2020-07-15,55000,54300,54400,54700,24051450,54700
2020-07-16,54800,53800,54800,53800,16779127,53800
2020-07-17,54700,54100,54200,54400,10096174,54400
2020-07-20,54800,54000,54800,54200,10507530,54200
2020-07-21,55400,54800,55200,55300,18297260,55300
2020-07-22,55500,54700,55300,54700,12885057,54700
2020-07-23,54700,53800,54700,54100,16214932,54100
2020-07-24,54400,53700,54000,54200,10994535,54200
2020-07-27,55700,54300,54300,55600,21054421,55600
2020-07-28,58800,56400,57000,58600,48431566,58600
2020-07-29,60400,58600,60300,59000,36476611,59000
2020-07-30,60100,59000,59700,59000,19285354,59000
